"food","../../wp-content/uploads/2015/05/food-ジバニャンのふわチョコモナカ_1.jpg\n../../wp-content/uploads/2015/05/food-ジバニャンのふわチョコモナカ_2.jpg", "1", "ジバニャンのふわチョコモナカ","null","ジバニャンが可愛いチョコモナカになって新登場！\nサクッとしたモナカの中にはふわふわのエアインチョコレート入り、\n食べるのがもったいないくらい♪", "【2015年 05月 25日発売】", "■価格:80円(税抜)", "null", "null"
"prize","../../wp-content/uploads/2015/04/prize-ひっさつわざフィギュア（3）.jpg", "1", "妖怪ウォッチ ひっさつわざフィギュア", "■全4種　サイズ約5cm","妖怪たちが必殺技を繰り出す時のポーズをかっこいいフィギュアにしました。\n必殺技を演出する背台紙も付いてるよ。\nクレーンゲームでゲットして、並べて飾ろう！", "【5月21日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch","▶とりあつかっているお店などの情報は「とるナビ」で検索！"
"prize","../../wp-content/uploads/2015/04/prize-カード付折りたたみウォレット２-1.jpg\n../../wp-content/uploads/2015/04/prize-カード付折りたたみウォレット２-2.jpg\n../../wp-content/uploads/2015/04/prize-カード付折りたたみウォレット２-3.jpg", "1", "妖怪ウォッチ カード付折りたたみウォレット２", "■全4種　サイズ約9cm×約9cm","妖怪たちをデザインしたオシャレな2ツ折りのウォレット。\n「妖怪ウォッチともだちウキウキペディア」で使える「妖怪カード」が1枚付いているよ。\nクレーンゲームで獲ってね。", "【5月19日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch", "▶とりあつかっているお店などの情報は「とるナビ」で検索！",
"prize","../../wp-content/uploads/2015/04/prize-テレビ椅子.jpg", "1", "妖怪ウォッチ テレビ椅子", "■全2種　サイズ約18cm","ジバニャン、コマさんのテレビ椅子が新登場！\nゲームするときやテレビを見たりするときに使おう。\nクレーンゲームで獲ってね。", "【5月14日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch", "▶とりあつかっているお店などの情報は「とるナビ」で検索！"
"prize","../../wp-content/uploads/2015/04/prize-Ｔシャツ２.jpg", "1", "妖怪ウォッチ Ｔシャツ２", "■全2種　サイズ：子供サイズ約130cm", "妖怪ウォッチに登場する妖怪たちのTシャツが新登場！どちらもとってもイケてるデザインで、これを着れば人気者間違いなし！クレーンゲーム専用景品だよ。", "【5月8日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch", "▶とりあつかっているお店などの情報は「とるナビ」で検索！"
"prize","../../wp-content/uploads/2015/04/prize-コロっとまんまるぬいぐるみ〜フルーツニャン登場編ｖｏｌ．１〜.jpg", "1", "妖怪ウォッチ コロっとまんまるぬいぐるみ～フルーツニャン登...", "■全4種　サイズ約12cm","コロンとした形がかわいい「コロっとまんまるぬいぐるみ」からフルーツニャンが登場！\n第1弾は「ジバニャン」、「ブドウニャン」、「イチゴニャン」、「メロンニャン」の全4種類。\nクレーンゲームで獲ってね。", "【5月8日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch", "▶とりあつかっているお店などの情報は「とるナビ」で検索！"
"dailynec","../../wp-content/uploads/2015/04/バッジ０４.jpg\n../../wp-content/uploads/2015/04/バッジ０３.jpg\n../../wp-content/uploads/2015/04/バッジ０１.jpg", "1", "ニャーKB　with ツチノコパンダ　缶バッジ", "■商品内容：1パック　各1個入り　全16種（ニャーKB７人、ツチノコパンダ）×2種（アニメ、写真）","アニメと同じポーズをした、AKBメンバーの写真を完全撮り下ろし。", "【2015年 05月 06日発売】", "価格: 300円（税抜）", "http://www.itoyokado.co.jp/store/\nhttp://youkai-world.com/goods/nkb_shoplist/" ,"▶全国のイトーヨーカドー\n▶その他のお店はこちら"
"dailynec","../../wp-content/uploads/2015/04/キャラポス０４.jpg\n../../wp-content/uploads/2015/04/キャラポス０２.jpg", "1", "ニャーKB　with ツチノコパンダ　キャラポスコレクション", "■商品内容：1パック　写真＋アニメ　各1枚入り　全8種（ニャーKB７人、全員集合1種）", "アニメと同じポーズをした、AKBメンバーの写真を完全撮り下ろし。", "【2015年 04月 29日発売】", "■価格: 600円（税抜）", "http://www.itoyokado.co.jp/store/\nhttp://youkai-world.com/goods/nkb_shoplist/", "▶全国のイトーヨーカドー\n▶その他のお店はこちら"
"dailynec","../../wp-content/uploads/2015/04/クリアファイル写真全種.jpg\n../../wp-content/uploads/2015/04/クリアファイル全種アニメ.jpg\n../../wp-content/uploads/2015/04/クリアファイルぱるる.jpg", "1", "ニャーKB　with ツチノコパンダ　クリアファイル", "■商品内容：1パック　写真＋アニメ　各1枚入り　全8種（ニャーKB７人、全員集合1種）","アニメと同じポーズをした、AKBメンバーの写真を完全撮り下ろし。", "【2015年 04月 29日発売】", "■価格: 300円（税抜）", "http://www.itoyokado.co.jp/store/\nhttp://youkai-world.com/goods/nkb_shoplist/" ,"▶全国のイトーヨーカドー\n▶その他のお店はこちら"
"dailynec","../../wp-content/uploads/2015/04/フィギュア０３.jpg\n../../wp-content/uploads/2015/04/フィギュア０２.jpg\n../../wp-content/uploads/2015/04/フィギュア０１.jpg", "1", "ニャーKB　with ツチノコパンダ　フィギュア", "■商品内容：１パック　フィギュア＋台座1個入り。フィギュア全10種（ニャーKB7人、ツチノコパンダ2種、シークレット1種）","妖怪ウォッチ　ＥＤ曲『アイドルはウーニャニャの件』のダンスシーンを完全再現！\n※1BOXでフィギュア全10種揃います", "【2015年 04月 29日発売】", "価格: 600円（税抜）", "http://youkai-world.com/goods/nkb_shoplist/" ,"▶取り扱い店はこちら"
